Geneid	H2O	Y173	Y299	Y550	Y594
Millet_GLEAN_10028549	824	2249	2069	1045	2331
Millet_GLEAN_10028550	4272	10392	9154	5863	12641
Millet_GLEAN_10028551	68	263	290	135	531
Millet_GLEAN_10028552	0	1	0	0	2
Millet_GLEAN_10028553	425	710	414	405	611
Millet_GLEAN_10028554	0	0	0	0	0
Millet_GLEAN_10028555	0	0	0	0	0
Millet_GLEAN_10028556	0	0	2	2	0
Millet_GLEAN_10028557	147	451	423	156	440
Millet_GLEAN_10028558	6615	19990	15654	8938	20015
Millet_GLEAN_10028559	768	1261	1383	897	1567
Millet_GLEAN_10028560	1973	5431	5465	3500	6358
Millet_GLEAN_10028561	1334	2813	2752	1581	4080
Millet_GLEAN_10028562	21	86	34	11	67
Millet_GLEAN_10028563	293	539	265	278	533
Millet_GLEAN_10028564	368	748	715	432	852
Millet_GLEAN_10028565	1326	3171	3129	2457	4370
Millet_GLEAN_10028566	0	0	4	0	0
Millet_GLEAN_10028567	3465	8777	8177	4803	9965
Millet_GLEAN_10028568	1268	2403	3309	1441	5771
Millet_GLEAN_10028569	8	0	2	0	4
Millet_GLEAN_10028570	289	701	700	255	869
Millet_GLEAN_10028571	103	364	307	253	598
Millet_GLEAN_10028572	62	153	163	149	209
Millet_GLEAN_10028573	0	0	0	0	0
Millet_GLEAN_10028574	812	1075	673	787	755
Millet_GLEAN_10028575	0	0	0	0	0
Millet_GLEAN_10028576	0	0	0	0	0
Millet_GLEAN_10028577	6523	17268	16218	8623	21572
Millet_GLEAN_10028578	17	18	6	16	0
Millet_GLEAN_10028579	0	0	0	0	0
Millet_GLEAN_10028580	116	349	320	143	409
Millet_GLEAN_10028581	86	207	159	159	243
Millet_GLEAN_10028582	0	11	3	0	4
Millet_GLEAN_10028583	3355	11772	12035	6206	20868
Millet_GLEAN_10028584	2	0	0	0	5
Millet_GLEAN_10028585	1145	2843	2156	1850	3055
Millet_GLEAN_10028586	1372	2403	2882	1412	3915
Millet_GLEAN_10028587	554	1660	1572	815	1828
Millet_GLEAN_10028588	3468	8207	8291	4384	11218
Millet_GLEAN_10028589	0	10	4	4	8
Millet_GLEAN_10028590	581	1133	1070	528	1351
Millet_GLEAN_10028591	1076	1556	2151	784	3075
Millet_GLEAN_10028592	410	1234	1242	501	1580
Millet_GLEAN_10028593	286	1132	853	350	1520
Millet_GLEAN_10028594	10	22	2	8	23
Millet_GLEAN_10028595	775	1721	1828	1192	2273
Millet_GLEAN_10028596	2	0	0	0	0
Millet_GLEAN_10028597	517	905	744	512	1930
Millet_GLEAN_10028598	1771	3461	3069	1902	3988
Millet_GLEAN_10028599	103	266	192	137	148
Millet_GLEAN_10028600	217	402	641	494	871
Millet_GLEAN_10028601	0	2	5	4	7
Millet_GLEAN_10028602	4	13	34	3	15
Millet_GLEAN_10028603	205	407	448	380	482
Millet_GLEAN_10028604	0	0	0	0	0
Millet_GLEAN_10028605	0	0	0	0	0
Millet_GLEAN_10028606	205	518	544	404	799
Millet_GLEAN_10028607	0	0	0	0	0
Millet_GLEAN_10028608	0	0	0	0	2
Millet_GLEAN_10028609	0	0	0	0	0
Millet_GLEAN_10028610	0	0	6	0	4
Millet_GLEAN_10028611	0	2	0	4	12
Millet_GLEAN_10028612	1222	3219	2085	1326	3091
Millet_GLEAN_10028613	46	156	80	77	105
Millet_GLEAN_10028614	298	632	651	288	811
Millet_GLEAN_10028615	148	261	292	201	301
